id,name,line
1,Montmorency,orange
2,De la Concorde,orange
3,Cartier,orange
4,Henri-Bourassa,orange
5,Sauve,orange
6,Cremazie,orange
7,Jarry,orange
8,Jean-talon,"orange, blue"
9,Beaubien,orange
10,Rosemont,orange
11,Laurier,orange
12,Mont-royal,orange
13,Sherbooke,orange
14,Berri-uqam,"orange, yellow, green"
15,Champ-de-mars,orange
16,Place-d'armes,orange
17,Square-victoria,orange
18,Bonaventure,orange
19,Lucien-l'allier,orange
20,Georges-vanier,orange
21,Lionel-groulx,"orange, green"
22,Place-saint-henri,orange
23,Vendome,orange
24,Vila-maria,orange
25,Snowdown,"orange, blue"
26,Cote-sante-catherine,orange
27,Plamondon,orange
28,Namur,orange
29,De la savane,orange
30,Du college,orange
31,Cote-vertu,orange
32,Cote-des-neiges,blue
33,Universite-de-montreal,blue
34,Eduard-montpetit,blue
35,Outremont,blue
36,Acadie,blue
37,Parc,blue
38,De castelnau,blue
39,Fabre,blue
40,D'iberville,blue
41,Saint_michel,blue
42,Angrignon,green
43,Monk,green
44,Jolicqeur,green
45,Verdun,green
46,De leglise,green
47,Lasalle,green
48,Charlevoix,green
49,Atwater,green
50,Guy-concordia,green
51,Peel,green
52,McGill,green
53,Place-des-arts,green
54,Saint-laurent,green
55,Beaudry,green
56,Papineu,green
57,Frontenac,green
58,Prefontaine,green
59,Joliette,green
60,Pie-ix,green
61,Viau,green
62,Assomtion,green
63,Cadillac,green
64,Langelier,green
65,Radisson,green
66,Honore-beaugrand,green
67,Jean-drapeau,yellow
68,Longueuil-universite-de-sherbrook,yellow
