id,name,line
1,Battistini,A
2,Cornelia,A
3,Baldo degli ubaldi,A
4,Valle Aurelia,A
5,Cipro,A
6,Ottaviano,A
7,Lepanto,A
8,Flaminio,A
9,Spagma,A
10,Barberini,A
11,Reoublica,A
12,Termini,"A, B"
13,Vittorio Emanuele,A
14,Manzoni,A
15,S. Giovanni,"A, C"
16,Re di roma,A
17,Ponte Lungo,A
18,Furio Camillo,A
19,Colli Albani,A
20,Arco di Traventino,A
21,Porta Furba,A
22,Numidio Agricola,A
23,Subaugusta,A
24,Cinecitta,A
25,Anagnina,A
26,Laurentina,B
27,EUR Fermi,B
28,EUR Palasport,B
29,EUR Magliana,B
30,Marconi,B
31,Basilica S. Paolo,B
32,Garbatella,B
33,Piramide,B
34,Circo Massimo,B
35,Colosseo,"B, C"
36,Cavour,B
37,Castro Pretorio,B
38,Policlinico,B
39,Bologna,B
40,Tibutina,B
41,Quintiliani,B
42,Monti Tiburtini,B
43,Pietralata,B
44,S. Maria Del Soccorso,B
45,Ponte Mammoto,B
46,Rebibbia,B
47,S. Agnese/ Annibaliano,B
48,Libia,B
49,Conca d'Oro,B
50,Jonio,B
51,Lodi,C
52,Pigneto,C
53,Malastesta,C
54,Teano,C
55,Gardenie,C
56,Mirti,C
57,Parco di Centocelle,C
58,Alessandrino,C
59,Torre Spaccata,C
60,Torre Maura,C
61,Giarnetti,C
62,Torrenova,C
63,Torre Angela,C
64,Torre Gaia,C
65,Grotte Celoni,C
66,Due Leoni/ Fontana Candida,C
67,Borhesiana,C
68,Bolonetta,C
69,Finocchio,C
70,Graniti,C
71,Montecompatri/panatano,C
72,Ambra Aradam,C
